Timestamp,MAC_Address,Frame_Number,RSSI,Data_Size,Raw_Hex_Data,frame_count,frame_type,vbat,mean_mag_z,sd_mag_z,mean_acc,sd_acc,max_acc,mean_mag_z_mt,sd_mag_z_mt,mean_acc_g,sd_acc_g,max_acc_g,flow_state,is_attached,lost_frames
2025-11-17 17:59:59.524,EC:69:0B:19:32:8E,1,-77,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 66 1C 00 00 0A 00 26 01 0A 0E CA 00 00 00 00 00 00 00 00 00,7270,10,9.728,2561,-13810,0,0,0,2.561,-13.81,0.0,0.0,0.0,2561,True,0
2025-11-17 18:00:00.529,EC:69:0B:19:32:8E,2,-71,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 67 1C 00 00 0A 00 26 01 F1 0E 52 00 00 00 00 00 00 00 00 00,7271,10,9.728,-3839,21006,0,0,0,-3.839,21.006,0.0,0.0,0.0,3839,True,0
2025-11-17 18:00:01.532,EC:69:0B:19:32:8E,3,-75,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 68 1C 00 00 0A 00 26 01 10 0F 36 00 00 00 00 00 00 00 00 00,7272,10,9.728,4097,13839,0,0,0,4.097,13.839,0.0,0.0,0.0,4097,True,0
2025-11-17 18:00:02.542,EC:69:0B:19:32:8E,4,-71,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 69 1C 00 00 0A 00 26 01 4C 0F 35 00 00 00 00 00 00 00 00 00,7273,10,9.728,19457,13583,0,0,0,19.457,13.583,0.0,0.0,0.0,19457,True,0
2025-11-17 18:00:03.542,EC:69:0B:19:32:8E,5,-84,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 6A 1C 00 00 0A 00 27 01 2A 0F 0A 00 00 00 00 00 00 00 00 00,7274,10,9.984,10753,2575,0,0,0,10.753,2.575,0.0,0.0,0.0,10753,True,0
2025-11-17 18:00:04.546,EC:69:0B:19:32:8E,6,-72,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 6B 1C 00 00 0A 00 26 01 A9 0E E0 00 00 00 00 00 00 00 00 00,7275,10,9.728,-22271,-8178,0,0,0,-22.271,-8.178,0.0,0.0,0.0,22271,True,0
2025-11-17 18:00:05.550,EC:69:0B:19:32:8E,7,-73,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 6C 1C 00 00 0A 00 26 01 1C 0F 4A 00 00 00 00 00 00 00 00 00,7276,10,9.728,7169,18959,0,0,0,7.169,18.959,0.0,0.0,0.0,7169,True,0
2025-11-17 18:00:06.548,EC:69:0B:19:32:8E,8,-69,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 6D 1C 00 00 0A 00 26 01 2D 0F 38 00 00 00 00 00 00 00 00 00,7277,10,9.728,11521,14351,0,0,0,11.521,14.351,0.0,0.0,0.0,11521,True,0
2025-11-17 18:00:07.550,EC:69:0B:19:32:8E,9,-75,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 6E 1C 00 00 0A 00 27 01 0A 0F 40 00 00 00 00 00 00 00 00 00,7278,10,9.984,2561,16399,0,0,0,2.561,16.399,0.0,0.0,0.0,2561,True,0
2025-11-17 18:00:08.553,EC:69:0B:19:32:8E,10,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 6F 1C 00 00 0A 00 26 01 48 0F 39 00 00 00 00 00 00 00 00 00,7279,10,9.728,18433,14607,0,0,0,18.433,14.607,0.0,0.0,0.0,18433,True,0
2025-11-17 18:00:11.568,EC:69:0B:19:32:8E,11,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 72 1C 00 00 0A 00 26 01 23 0F 4C 00 00 00 00 00 00 00 00 00,7282,10,9.728,8961,19471,0,0,0,8.961,19.471,0.0,0.0,0.0,8961,True,2
2025-11-17 18:00:13.588,EC:69:0B:19:32:8E,12,-69,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 74 1C 00 00 0A 00 26 01 BA 0C DB 02 00 00 00 00 00 00 00 00,7284,10,9.728,-17919,-9460,2,0,0,-17.919,-9.46,0.002,0.0,0.0,17919,True,1
2025-11-17 18:00:14.591,EC:69:0B:19:32:8E,13,-69,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 75 1C 00 00 0A 00 26 01 14 0F 34 00 00 00 00 00 00 00 00 00,7285,10,9.728,5121,13327,0,0,0,5.121,13.327,0.0,0.0,0.0,5121,True,0
2025-11-17 18:00:16.602,EC:69:0B:19:32:8E,14,-74,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 77 1C 00 00 0A 00 26 01 CA 0D FA 00 00 00 00 00 00 00 00 00,7287,10,9.728,-13823,-1523,0,0,0,-13.823,-1.523,0.0,0.0,0.0,13823,True,1
2025-11-17 18:00:17.618,EC:69:0B:19:32:8E,15,-74,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 78 1C 00 00 0A 00 27 01 3B 0E 28 01 00 00 00 00 00 00 00 00,7288,10,9.984,15105,10254,1,0,0,15.105,10.254,0.001,0.0,0.0,15105,True,0
2025-11-17 18:00:19.613,EC:69:0B:19:32:8E,16,-79,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 7A 1C 00 00 0A 00 27 01 F8 0E 45 00 00 00 00 00 00 00 00 00,7290,10,9.984,-2047,17678,0,0,0,-2.047,17.678,0.0,0.0,0.0,2047,True,1
