Timestamp,MAC_Address,Frame_Number,RSSI,Data_Size,Raw_Hex_Data,frame_count,Temps (s),frame_type,vbat,mean_mag_z,sd_mag_z,mean_acc,sd_acc,max_acc,mean_mag_z_T,sd_mag_z_T,mean_acc_ms2,sd_acc_ms2,max_acc_ms2,flow_state,is_attached,lost_frames
2025-11-17 18:03:52.675,EC:69:0B:19:32:8E,17,-79,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 4F 1D 00 00 0A 00 26 01 40 0F 2A 00 00 00 00 00 00 00 00 00,7503,20,10,2.94,3904,42,0,0,0,3.904,0.042,0,0,0,3904,True,0
2025-11-17 18:03:53.690,EC:69:0B:19:32:8E,18,-74,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 50 1D 00 00 0A 00 26 01 13 0F 81 00 00 00 00 00 00 00 00 00,7504,21,10,2.94,3859,129,0,0,0,3.859,0.129,0,0,0,3859,True,0
2025-11-17 18:03:54.691,EC:69:0B:19:32:8E,19,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 51 1D 00 00 0A 00 27 01 31 0F 38 00 00 00 00 00 00 00 00 00,7505,22,10,2.95,3889,56,0,0,0,3.889,0.056,0,0,0,3889,True,0
2025-11-17 18:03:55.691,EC:69:0B:19:32:8E,20,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 52 1D 00 00 0A 00 27 01 5A 0F 42 00 00 00 00 00 00 00 00 00,7506,23,10,2.95,3930,66,0,0,0,3.93,0.066,0,0,0,3930,True,0
2025-11-17 18:03:56.692,EC:69:0B:19:32:8E,21,-73,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 53 1D 00 00 0A 00 26 01 20 0F 4A 00 00 00 00 00 00 00 00 00,7507,24,10,2.94,3872,74,0,0,0,3.872,0.074,0,0,0,3872,True,0
2025-11-17 18:03:57.697,EC:69:0B:19:32:8E,22,-83,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 54 1D 00 00 0A 00 27 01 26 0F 4C 00 00 00 00 00 00 00 00 00,7508,25,10,2.95,3878,76,0,0,0,3.878,0.076,0,0,0,3878,True,0
2025-11-17 18:03:59.698,EC:69:0B:19:32:8E,23,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 56 1D 00 00 0A 00 27 01 49 0F 32 00 00 00 00 00 00 00 00 00,7510,27,10,2.95,3913,50,0,0,0,3.913,0.05,0,0,0,3913,True,1
2025-11-17 18:04:00.705,EC:69:0B:19:32:8E,24,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 57 1D 00 00 0A 00 27 01 49 0F 47 00 00 00 00 00 00 00 00 00,7511,28,10,2.95,3913,71,0,0,0,3.913,0.071,0,0,0,3913,True,0
2025-11-17 18:04:01.720,EC:69:0B:19:32:8E,25,-75,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 58 1D 00 00 0A 00 26 01 38 0F 2C 00 00 00 00 00 00 00 00 00,7512,29,10,2.94,3896,44,0,0,0,3.896,0.044,0,0,0,3896,True,0
2025-11-17 18:04:02.722,EC:69:0B:19:32:8E,26,-70,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 59 1D 00 00 0A 00 26 01 14 0F 87 00 00 00 00 00 00 00 00 00,7513,30,10,2.94,3860,135,0,0,0,3.86,0.135,0,0,0,3860,True,0
