Timestamp,MAC_Address,Frame_Number,RSSI,Data_Size,Raw_Hex_Data,frame_count,frame_type,vbat,mean_mag_z,sd_mag_z,mean_acc,sd_acc,max_acc,mean_mag_z_T,sd_mag_z_T,mean_acc_ms2,sd_acc_ms2,max_acc_ms2,flow_state,is_attached,lost_frames
2025-11-17 18:00:20.618,EC:69:0B:19:32:8E,17,-79,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 7B 1C 00 00 0A 00 26 01 11 0F 35 00 00 00 00 00 00 00 00 00,7291,10,2.94,3857,53,0,0,0,3.857,0.053,0.0,0.0,0.0,3857,True,0
2025-11-17 18:00:21.625,EC:69:0B:19:32:8E,18,-72,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 7C 1C 00 00 0A 00 26 01 FC 0E 43 00 00 00 00 00 00 00 00 00,7292,10,2.94,3836,67,0,0,0,3.836,0.067,0.0,0.0,0.0,3836,True,0
2025-11-17 18:00:24.638,EC:69:0B:19:32:8E,19,-71,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 7F 1C 00 00 0A 00 26 01 25 0F 28 00 00 00 00 00 00 00 00 00,7295,10,2.94,3877,40,0,0,0,3.877,0.04,0.0,0.0,0.0,3877,True,2
2025-11-17 18:00:25.640,EC:69:0B:19:32:8E,20,-70,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 80 1C 00 00 0A 00 27 01 24 0F 23 00 00 00 00 00 00 00 00 00,7296,10,2.95,3876,35,0,0,0,3.876,0.035,0.0,0.0,0.0,3876,True,0
2025-11-17 18:00:26.660,EC:69:0B:19:32:8E,21,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 81 1C 00 00 0A 00 26 01 37 0F 40 00 00 00 00 00 00 00 00 00,7297,10,2.94,3895,64,0,0,0,3.895,0.064,0.0,0.0,0.0,3895,True,0
2025-11-17 18:00:27.660,EC:69:0B:19:32:8E,22,-71,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 82 1C 00 00 0A 00 26 01 49 0F 32 00 00 00 00 00 00 00 00 00,7298,10,2.94,3913,50,0,0,0,3.913,0.05,0.0,0.0,0.0,3913,True,0
2025-11-17 18:00:30.670,EC:69:0B:19:32:8E,23,-76,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 85 1C 00 00 0A 00 26 01 1E 0F 26 00 00 00 00 00 00 00 00 00,7301,10,2.94,3870,38,0,0,0,3.87,0.038,0.0,0.0,0.0,3870,True,2
2025-11-17 18:00:31.678,EC:69:0B:19:32:8E,24,-73,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 86 1C 00 00 0A 00 26 01 2C 0F 0A 00 00 00 00 00 00 00 00 00,7302,10,2.94,3884,10,0,0,0,3.884,0.01,0.0,0.0,0.0,3884,True,0
2025-11-17 18:00:32.693,EC:69:0B:19:32:8E,25,-69,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 87 1C 00 00 0A 00 26 01 ED 0D CC 00 00 00 00 00 00 00 00 00,7303,10,2.94,3565,204,0,0,0,3.565,0.204,0.0,0.0,0.0,3565,True,0
2025-11-17 18:00:33.695,EC:69:0B:19:32:8E,26,-72,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 88 1C 00 00 0A 00 26 01 63 0E 59 00 00 00 00 00 00 00 00 00,7304,10,2.94,3683,89,0,0,0,3.683,0.089,0.0,0.0,0.0,3683,True,0
