Timestamp,MAC_Address,Frame_Number,RSSI,Data_Size,Raw_Hex_Data
2025-11-17 17:59:59.524,EC:69:0B:19:32:8E,1,-77,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 66 1C 00 00 0A 00 26 01 0A 0E CA 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:00.529,EC:69:0B:19:32:8E,2,-71,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 67 1C 00 00 0A 00 26 01 F1 0E 52 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:01.532,EC:69:0B:19:32:8E,3,-75,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 68 1C 00 00 0A 00 26 01 10 0F 36 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:02.542,EC:69:0B:19:32:8E,4,-71,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 69 1C 00 00 0A 00 26 01 4C 0F 35 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:03.542,EC:69:0B:19:32:8E,5,-84,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 6A 1C 00 00 0A 00 27 01 2A 0F 0A 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:04.546,EC:69:0B:19:32:8E,6,-72,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 6B 1C 00 00 0A 00 26 01 A9 0E E0 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:05.550,EC:69:0B:19:32:8E,7,-73,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 6C 1C 00 00 0A 00 26 01 1C 0F 4A 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:06.548,EC:69:0B:19:32:8E,8,-69,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 6D 1C 00 00 0A 00 26 01 2D 0F 38 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:07.550,EC:69:0B:19:32:8E,9,-75,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 6E 1C 00 00 0A 00 27 01 0A 0F 40 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:08.553,EC:69:0B:19:32:8E,10,-68,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 6F 1C 00 00 0A 00 26 01 48 0F 39 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:11.568,EC:69:0B:19:32:8E,11,-68,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 72 1C 00 00 0A 00 26 01 23 0F 4C 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:13.588,EC:69:0B:19:32:8E,12,-69,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 74 1C 00 00 0A 00 26 01 BA 0C DB 02 00 00 00 00 00 00 00 00"
2025-11-17 18:00:14.591,EC:69:0B:19:32:8E,13,-69,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 75 1C 00 00 0A 00 26 01 14 0F 34 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:16.602,EC:69:0B:19:32:8E,14,-74,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 77 1C 00 00 0A 00 26 01 CA 0D FA 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:17.618,EC:69:0B:19:32:8E,15,-74,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 78 1C 00 00 0A 00 27 01 3B 0E 28 01 00 00 00 00 00 00 00 00"
2025-11-17 18:00:19.613,EC:69:0B:19:32:8E,16,-79,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 7A 1C 00 00 0A 00 27 01 F8 0E 45 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:20.618,EC:69:0B:19:32:8E,17,-79,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 7B 1C 00 00 0A 00 26 01 11 0F 35 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:21.625,EC:69:0B:19:32:8E,18,-72,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 7C 1C 00 00 0A 00 26 01 FC 0E 43 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:24.638,EC:69:0B:19:32:8E,19,-71,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 7F 1C 00 00 0A 00 26 01 25 0F 28 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:25.640,EC:69:0B:19:32:8E,20,-70,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 80 1C 00 00 0A 00 27 01 24 0F 23 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:26.660,EC:69:0B:19:32:8E,21,-68,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 81 1C 00 00 0A 00 26 01 37 0F 40 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:27.660,EC:69:0B:19:32:8E,22,-71,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 82 1C 00 00 0A 00 26 01 49 0F 32 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:30.670,EC:69:0B:19:32:8E,23,-76,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 85 1C 00 00 0A 00 26 01 1E 0F 26 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:31.678,EC:69:0B:19:32:8E,24,-73,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 86 1C 00 00 0A 00 26 01 2C 0F 0A 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:32.693,EC:69:0B:19:32:8E,25,-69,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 87 1C 00 00 0A 00 26 01 ED 0D CC 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:33.695,EC:69:0B:19:32:8E,26,-72,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 88 1C 00 00 0A 00 26 01 63 0E 59 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:35.704,EC:69:0B:19:32:8E,27,-78,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 8A 1C 00 00 0A 00 26 01 54 0E 3E 00 00 00 00 00 00 00 00 00"
