Timestamp,MAC_Address,Frame_Number,RSSI,Data_Size,Raw_Hex_Data,frame_count,frame_type,vbat,mean_mag_z,sd_mag_z,mean_acc,sd_acc,max_acc,mean_mag_z_mt,sd_mag_z_mt,mean_acc_g,sd_acc_g,max_acc_g,flow_state,is_attached,lost_frames
2025-11-17 17:45:04.123,EC:69:0B:19:32:8E,67,-70,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF E6 18 00 00 0A 00 08 01 85 0E 51 00 00 00 00 00 00 00 00 00,6374,10,2.048,-31487,20750,0,0,0,-31.487,20.75,0.0,0.0,0.0,31487,True,0
2025-11-17 17:45:05.125,EC:69:0B:19:32:8E,68,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF E8 18 00 00 0A 00 26 01 78 0E 40 00 00 00 00 00 00 00 00 00,6376,10,9.728,30721,16398,0,0,0,30.721,16.398,0.0,0.0,0.0,30721,True,1
2025-11-17 17:45:06.138,EC:69:0B:19:32:8E,69,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF E9 18 00 00 0A 00 26 01 2F 0E 3E 00 00 00 00 00 00 00 00 00,6377,10,9.728,12033,15886,0,0,0,12.033,15.886,0.0,0.0,0.0,12033,True,0
2025-11-17 17:45:07.138,EC:69:0B:19:32:8E,70,-65,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF EA 18 00 00 0A 00 26 01 17 0E 5B 00 00 00 00 00 00 00 00 00,6378,10,9.728,5889,23310,0,0,0,5.889,23.31,0.0,0.0,0.0,5889,True,0
2025-11-17 17:45:09.142,EC:69:0B:19:32:8E,71,-65,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF EC 18 00 00 0A 00 26 01 31 0E 48 00 00 00 00 00 00 00 00 00,6380,10,9.728,12545,18446,0,0,0,12.545,18.446,0.0,0.0,0.0,12545,True,1
2025-11-17 17:45:10.158,EC:69:0B:19:32:8E,72,-65,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF ED 18 00 00 0A 00 26 01 54 0E 3E 00 00 00 00 00 00 00 00 00,6381,10,9.728,21505,15886,0,0,0,21.505,15.886,0.0,0.0,0.0,21505,True,0
2025-11-17 17:45:11.171,EC:69:0B:19:32:8E,73,-70,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF EE 18 00 00 0A 00 26 01 1B 0E 24 00 00 00 00 00 00 00 00 00,6382,10,9.728,6913,9230,0,0,0,6.913,9.23,0.0,0.0,0.0,6913,True,0
2025-11-17 17:45:12.177,EC:69:0B:19:32:8E,74,-64,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF EF 18 00 00 0A 00 26 01 1E 0E 26 00 00 00 00 00 00 00 00 00,6383,10,9.728,7681,9742,0,0,0,7.681,9.742,0.0,0.0,0.0,7681,True,0
2025-11-17 17:45:13.174,EC:69:0B:19:32:8E,75,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF F0 18 00 00 0A 00 27 01 20 0E 22 00 00 00 00 00 00 00 00 00,6384,10,9.984,8193,8718,0,0,0,8.193,8.718,0.0,0.0,0.0,8193,True,0
2025-11-17 17:45:15.186,EC:69:0B:19:32:8E,76,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF F2 18 00 00 0A 00 26 01 40 0E 49 00 00 00 00 00 00 00 00 00,6386,10,9.728,16385,18702,0,0,0,16.385,18.702,0.0,0.0,0.0,16385,True,1
2025-11-17 17:45:17.194,EC:69:0B:19:32:8E,77,-70,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF F4 18 00 00 0A 00 26 01 5C 0E 47 00 00 00 00 00 00 00 00 00,6388,10,9.728,23553,18190,0,0,0,23.553,18.19,0.0,0.0,0.0,23553,True,1
2025-11-17 17:45:18.208,EC:69:0B:19:32:8E,78,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF F5 18 00 00 0A 00 27 01 66 0E 44 00 00 00 00 00 00 00 00 00,6389,10,9.984,26113,17422,0,0,0,26.113,17.422,0.0,0.0,0.0,26113,True,0
2025-11-17 17:45:19.208,EC:69:0B:19:32:8E,79,-64,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF F6 18 00 00 0A 00 25 01 50 0E 44 00 00 00 00 00 00 00 00 00,6390,10,9.472,20481,17422,0,0,0,20.481,17.422,0.0,0.0,0.0,20481,True,0
2025-11-17 17:45:20.224,EC:69:0B:19:32:8E,80,-64,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF F7 18 00 00 0A 00 26 01 9A 0E 25 00 00 00 00 00 00 00 00 00,6391,10,9.728,-26111,9486,0,0,0,-26.111,9.486,0.0,0.0,0.0,26111,True,0
2025-11-17 17:45:21.224,EC:69:0B:19:32:8E,81,-63,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF F8 18 00 00 0A 00 26 01 72 0E 45 00 00 00 00 00 00 00 00 00,6392,10,9.728,29185,17678,0,0,0,29.185,17.678,0.0,0.0,0.0,29185,True,0
2025-11-17 17:45:23.228,EC:69:0B:19:32:8E,82,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF FA 18 00 00 0A 00 26 01 3C 0E 7B 00 00 00 00 00 00 00 00 00,6394,10,9.728,15361,31502,0,0,0,15.361,31.502,0.0,0.0,0.0,15361,True,1
2025-11-17 17:45:25.241,EC:69:0B:19:32:8E,83,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF FC 18 00 00 0A 00 26 01 7D 0D 90 01 00 00 00 00 00 00 00 00,6396,10,9.728,32001,-28659,1,0,0,32.001,-28.659,0.001,0.0,0.0,32001,True,1
2025-11-17 17:45:26.271,EC:69:0B:19:32:8E,84,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF FD 18 00 00 0A 00 26 01 27 0E 70 00 00 00 00 00 00 00 00 00,6397,10,9.728,9985,28686,0,0,0,9.985,28.686,0.0,0.0,0.0,9985,True,0
2025-11-17 17:45:27.274,EC:69:0B:19:32:8E,85,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF FE 18 00 00 0A 00 26 01 4B 0E 8E 00 00 00 00 00 00 00 00 00,6398,10,9.728,19201,-29170,0,0,0,19.201,-29.17,0.0,0.0,0.0,19201,True,0
2025-11-17 17:45:28.274,EC:69:0B:19:32:8E,86,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF FF 18 00 00 0A 00 26 01 74 0C DD 01 00 00 00 00 00 00 00 00,6399,10,9.728,29697,-8948,1,0,0,29.697,-8.948,0.001,0.0,0.0,29697,True,0
2025-11-17 17:45:30.276,EC:69:0B:19:32:8E,87,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 01 19 00 00 0A 00 26 01 3C 0D E8 00 00 00 00 00 00 00 00 00,6401,10,9.728,15361,-6131,0,0,0,15.361,-6.131,0.0,0.0,0.0,15361,True,1
2025-11-17 17:45:31.291,EC:69:0B:19:32:8E,88,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 02 19 00 00 0A 00 26 01 85 0E A4 00 00 00 00 00 00 00 00 00,6402,10,9.728,-31487,-23538,0,0,0,-31.487,-23.538,0.0,0.0,0.0,31487,True,0
2025-11-17 17:45:32.292,EC:69:0B:19:32:8E,89,-65,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 03 19 00 00 0A 00 27 01 15 0E C2 00 00 00 00 00 00 00 00 00,6403,10,9.984,5377,-15858,0,0,0,5.377,-15.858,0.0,0.0,0.0,5377,True,0
2025-11-17 17:45:33.306,EC:69:0B:19:32:8E,90,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 04 19 00 00 0A 00 26 01 51 0E B1 00 00 00 00 00 00 00 00 00,6404,10,9.728,20737,-20210,0,0,0,20.737,-20.21,0.0,0.0,0.0,20737,True,0
2025-11-17 17:45:34.307,EC:69:0B:19:32:8E,91,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 05 19 00 00 0A 00 26 01 EC 09 0F 05 00 00 00 00 00 00 00 00,6405,10,9.728,-5119,3849,5,0,0,-5.119,3.849,0.005,0.0,0.0,5119,True,0
2025-11-17 17:45:35.306,EC:69:0B:19:32:8E,92,-70,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 06 19 00 00 0A 00 26 01 44 04 AD 01 00 00 00 00 00 00 00 00,6406,10,9.728,17409,-21244,1,0,0,17.409,-21.244,0.001,0.0,0.0,17409,True,0
2025-11-17 17:45:37.306,EC:69:0B:19:32:8E,93,-69,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 08 19 00 00 0A 00 26 01 6A 03 09 02 00 00 00 00 00 00 00 00,6408,10,9.728,27137,2307,2,0,0,27.137,2.307,0.002,0.0,0.0,27137,True,1
